Text#,Type,Issued,Title,Language,Authors,Subjects,LoCC,Bookshelves,category
46573,Text,2014-08-13,"Frederic Chopin: His Life, Letters, and Works,  v. 2 (of  2)",en,"Karasowski, Maurycy, 1823-1892; Hill, Emily, active 19th century [Translator]","Chopin, Frédéric, 1810-1849",ML,,M
46579,Text,2014-08-13,My Experiences as an Executioner,en,"Berry, James, 1852-1913; Ward, H. Snowden (Henry Snowden), 1865-1911 [Editor]",Executions and executioners -- Great Britain,HV,,H
46617,Text,2014-08-18,The Plan of Salvation,en,"Morgan, John (John Hamilton), 1842-1894",Salvation; Mormon Church -- Doctrines,BX,Latter Day Saints,B
46619,Text,2014-08-18,"A List of Books Published by Chatto & Windus, November 1887",en,Chatto & Windus (Firm),Publishers' catalogs -- England -- London; Chatto & Windus (Firm) -- Catalogs,Z,,Z
46636,Text,2014-08-20,"The Three Days' Tournament: A Study in Romance and Folk-Lore
Being an Appendix to the Author's 'Legend of Sir Lancelot'",en,"Weston, Jessie L. (Jessie Laidlay), 1850-1928","Arthurian romances -- History and criticism; Knights and knighthood in literature; Lancelot (Legendary character) -- Romances -- History and criticism; Tournaments, Medieval in literature",PN,,P
46643,Text,2014-08-21,Pedagogical Anthropology,en,"Montessori, Maria, 1870-1952; Cooper, Frederic Taber, 1864-1937 [Translator]",Anthropology; Physical anthropology,LB,,L
46738,Text,2014-08-31,"Punch, or the London Charivari, Volume 107, September 29, 1894",en,Various,English wit and humor -- Periodicals,AP,,A
46788,Text,2014-09-06,"The Story of the ""Britannia""
The training ship for naval cadets. With some account of previous methods of naval education, and of the new scheme of 1903.",en,"Statham, Edward Phillips, -1921",Great Britain. Royal Navy; Britannia (Ship); Naval education -- Great Britain,VA,,V
46853,Text,2014-09-14,"Le Morte Darthur
Sir Thomas Malory's Book of King Arthur and his Noble
Knights of the Round Table",en,"Malory, Thomas, Sir, -1471; Caxton, William, 1422?-1492? [Editor]; Strachey, Edward, Sir, 1812-1901 [Editor]",Arthurian romances,PR,,P
46863,Text,2014-09-15,Old-World Japan: Legends of the Land of the Gods,en,"Rinder, Frank, 1865-1945; Robinson, T. H. (Thomas Heath), 1869-1954 [Illustrator]","Legends -- Japan; Mythology, Japanese",GR,,G
