Text#,Type,Issued,Title,Language,Authors,Subjects,LoCC,Bookshelves,category
19765,Text,2006-11-11,"Vikings of the Pacific
The Adventures of the Explorers who Came from the West, Eastward",en,"Laut, Agnes C., 1871-1936",America -- Discovery and exploration; Discoveries in geography; Northwest Coast of North America; Pacific Ocean,F850.5,,F
19841,Sound,2006-11-18,Eve's Diary,en,"Twain, Mark, 1835-1910",Humorous stories; Diary fiction; Bible. Genesis -- History of Biblical events -- Fiction; Eve (Biblical figure) -- Fiction,PS,,P
19844,Sound,2006-11-18,Book of Jude,en,Unknown,Bible. Jude,BS,,B
19922,Text,2006-11-27,The Scientific Evidences of Organic Evolution,en,"Romanes, George John, 1848-1894",Evolution,QH,Biology,Q
19953,Text,2006-11-28,"Origin and Development of Form and Ornament in Ceramic Art.
Fourth Annual Report of the Bureau of Ethnology to the Secretary of the Smithsonian Institution, 1882-1883, Government Printing Office, Washington, 1886, pages 437-466.",en,"Holmes, William Henry, 1846-1933",Pottery -- History; Decoration and ornament -- History; Indian art -- North America,NK,Archaeology; Native America,N
19965,Text,2006-11-29,Measles,en,"Rucker, William Colby, 1875-",Measles,RA,,R
19986,Text,2006-12-01,Martyred Armenia,en,"Ghusayn, Fa'iz, 1883-1968","Armenian question; World War, 1914-1918 -- Armenia",D501,,D
20069,Text,2006-12-09,Caruso and Tetrazzini on the Art of Singing,en,"Caruso, Enrico, 1873-1921; Tetrazzini, Luisa, 1871-1940",Singing,MT,Music,M
20136,Text,2006-12-19,"The Seventeenth Highland Light Infantry (Glasgow Chamber of Commerce Battalion)
Record of War Service, 1914-1918",en,"Arthur, John W. [Editor]; Munro, Ion S. (Ion Smeaton) [Editor]","World War, 1914-1918 -- Regimental histories -- Great Britain; Great Britain. Army. Highland Light Infantry",D501,World War I,D
20215,Text,2006-12-29,An Onlooker in France 1917-1919,en,"Orpen, William, Sir, 1878-1931","World War, 1914-1918 -- Personal narratives; World War, 1914-1918 -- Pictorial works",D501,World War I,D
20216,Text,2006-12-30,"Old-Time Makers of Medicine
The Story of The Students And Teachers of the Sciences Related to Medicine During the Middle Ages",en,"Walsh, James J. (James Joseph), 1865-1942","Physicians; Medicine, Medieval",R,Medicine,R
20237,Text,2006-12-31,Art in England: Notes and Studies,en,"Cook, Dutton, 1829-1883",Art -- England,N,United Kingdom,N
20248,Text,2007-01-02,The Necessity of Atheism,en,"Brooks, David Marshall, 1902-",Religion and science; Atheism,BL,Atheism,B
20264,Text,2007-01-04,Parsifal: Story and Analysis of Wagner's Great Opera,en,"Haweis, H. R. (Hugh Reginald), 1839-1901","Operas -- Stories, plots, etc.; Wagner, Richard, 1813-1883. Parsifal; Perceval (Legendary character) -- Drama",ML,Opera,M
20279,Text,2007-01-04,The Veterinarian,en,"Korinek, Charles James, 1880-",Veterinary medicine,SF,,S
20300,Text,2007-01-06,Henry VIII.,en,"Pollard, A. F. (Albert Frederick), 1869-1948","Henry VIII, King of England, 1491-1547",DA,United Kingdom,D
20318,Text,2007-01-09,"Little Journeys to the Homes of the Great - Volume 14
Little Journeys to the Homes of Great Musicians",en,"Hubbard, Elbert, 1856-1915",Composers,ML,Music,M
20363,Text,2007-01-15,"Continental Monthly , Vol. 5, No. 6, June, 1864
Devoted to Literature and National Policy",en,Various,"Literature, Modern -- 19th century -- Periodicals; United States -- Politics and government -- 19th century -- Periodicals",AP,Continental Monthly,A
20408,Text,2007-01-21,"Notes and Queries, Number 185, May 14, 1853
A Medium of Inter-communication for Literary Men, Artists, Antiquaries, Genealogists, etc.",en,"Various; Bell, George, 1814-1890 [Editor]",Questions and answers -- Periodicals,AG,Notes and Queries,A
20442,Text,2007-01-25,"A Catalogue of Early Pennsylvania and Other Firearms and Edged Weapons at ""Restless Oaks"", McElhattan, Pa.",en,"Shoemaker, Henry W., 1880-1958; Piper, H. Beam, 1904-1964 [Compiler]",Weapons -- Catalogs; Firearms -- Catalogs,U,,U
20520,Text,2007-02-06,"The Hero of the Humber; Or, The History of the Late Mr. John Ellerthorpe",en,"Woodcock, Henry, 1830-","Sailors -- England -- Biography; Ellerthorpe, John, 1806-1868; Heroes -- England -- Biography",VK,,V
20555,Text,2007-02-10,"What Is and What Might Be
A Study of Education in General and Elementary Education in Particular",en,"Holmes, Edmond, 1850-1936",Education,LB,,L
20636,Text,2007-02-21,"The Military Journals of Two Private Soldiers, 1758-1775
With Numerous Illustrative Notes",en,"Tomlinson, Abraham","United States -- History -- Revolution, 1775-1783 -- Personal narratives; Concord, Battle of, Concord, Mass., 1775; Lexington, Battle of, Lexington, Mass., 1775; United States -- History -- French and Indian War, 1754-1763 -- Personal narratives",E201,,E
20643,Text,2007-02-21,The Character and Influence of the Indian Trade in Wisconsin,en,"Turner, Frederick Jackson, 1861-1932",Indians of North America -- Wisconsin; Trading posts -- Wisconsin; Fur trade -- United States; Wisconsin -- History -- To 1848,E011,Native America,E
20694,Text,2007-02-27,An Inquiry into the Nature of Peace and the Terms of Its Perpetuation,en,"Veblen, Thorstein, 1857-1929","Peace; World War, 1914-1918 -- Peace",JX,World War I,J
20736,Text,2007-03-03,"The Girl Scouts at Home; or, Rosanna's Beautiful Day",en,"Galt, Katherine Keene",Girl Scouts -- Juvenile fiction,PZ,Children's Book Series,P
20740,Text,2007-03-04,"Myths and Legends of All Nations
Famous Stories from the Greek, German, English, Spanish,
Scandinavian, Danish, French, Russian, Bohemian, Italian
and other sources",en,"Marshall, Logan, 1884- [Translator]",Legends; Mythology,BL,Children's Anthologies,B
20763,Text,2007-03-07,"Carpentry for Boys
In a Simple Language, Including Chapters on Drawing, Laying Out Work, Designing and Architecture With 250 Original Illustrations",en,"Zerbe, James Slough, 1850-",Carpentry,TH,Crafts; Technology; Woodwork,T
20830,Text,2007-03-15,The Good Housekeeping Marriage Book,en,"Bigelow, William F. (William Frederick), 1879-1966 [Editor]",Marriage,HQ,,H
21056,Text,2007-04-13,"Among the Great Masters of Music
Scenes in the Lives of Famous Musicians",en,"Rowlands, Walter, 1855-",Musicians -- Biography; Musicians -- Portraits; Music in art,ML,,M
21059,Text,2007-04-13,The Adventures of Dick Maitland: A Tale of Unknown Africa,en,"Collingwood, Harry, 1851-1922; Ball, Alec [Illustrator]",Adventure stories; Africa -- Juvenile fiction,PZ,Africa,P
21213,Text,2007-04-24,New Ideals in Rural Schools,en,"Betts, George Herbert, 1868-1934",Public schools,LB,,L
21244,Text,2007-04-27,By Canoe and Dog Train Among The Cree and Salteaux Indians,en,"Young, Egerton Ryerson, 1840-1909","Northwest, Canadian -- Description and travel; Ojibwa Indians -- Missions; Cree Indians -- Missions; Young, Egerton Ryerson, 1840-1909 -- Travel -- Northwest, Canadian; Missionaries -- Northwest, Canadian -- Biography",F1001,,F
21325,Text,2007-05-05,Outlines of Greek and Roman Medicine,en,"Elliott, James, Sir, 1880-1959","Medicine, Greek and Roman",R,Medicine,R
21442,Text,2007-05-15,"Your Plants
Plain and Practical Directions for the Treatment of Tender and Hardy Plants in the House and in the Garden",en,"Sheehan, James",Flower gardening,SB,Horticulture,S
21498,Text,2007-05-16,"France and the Republic
A Record of Things Seen and Learned in the French Provinces During the 'Centennial' Year 1889",en,"Hurlbert, William Henry, 1827-1895",France -- Description and travel; France -- Politics and government -- 1870-1940; Republicanism -- France,DC,,D
21590,Text,2007-05-23,"Punch, or the London Charivari, Volume 98, January 18, 1890",en,"Various; Burnand, F. C. (Francis Cowley), 1836-1917 [Editor]",English wit and humor -- Periodicals,AP,Punch,A
21592,Text,2007-05-24,"The Art of Making Whiskey
So As to Obtain a Better, Purer, Cheaper and Greater Quantity of Spirit, From a Given Quantity of Grain. Also, the Art of Converting It into Gin, after the Process of the Holland Distillers",en,"Boucherie, Anthony",Whiskey; Gin,TP,Crafts; Technology,T
21717,Text,2007-06-07,Battles with the Sea,en,"Ballantyne, R. M. (Robert Michael), 1825-1894",Lifesaving -- Great Britain; Shipwrecks,VK,Children's Fiction,V
21749,Text,2007-06-07,Man on the Ocean: A Book about Boats and Ships,en,"Ballantyne, R. M. (Robert Michael), 1825-1894; Richardson, R. [Illustrator]",Ships; Boats and boating,VM,Children's Fiction,V
21762,Text,2007-06-07,On the Firing Line in Education,en,"Ladd, Adoniram Judson",Education -- United States,LD,,L
21834,Text,2007-06-14,The Black Colonel,en,"Milne, James, 1865-1951",Scotland -- History -- 18th century -- Fiction; Love stories,PR,,P
21850,Text,2007-06-18,"A Little Norsk; Or, Ol' Pap's Flaxen",en,"Garland, Hamlin, 1860-1940",Orphans -- Fiction; Frontier and pioneer life -- Dakota Territory -- Fiction; Single fathers -- Fiction,PS,,P
21915,Text,2007-06-23,"Directions for Navigating on Part of the South Coast of Newfoundland, with a Chart Thereof, Including the Islands of St. Peter's and Miquelon
And a Particular Account of the Bays, Harbours, Rocks, Land-marks, Depths of Water, Latitudes, Bearings, and Distances from Place to Place, the Setting of the Currents, and Flowing of the Tides, &c., from an Actual Survey, Taken by Order of Commodore Pallisser, Governor of Newfoundland, Labradore, &c.",en,"Cook, James, 1728-1779",Navigation -- Newfoundland and Labrador; Pilot guides -- Newfoundland and Labrador,VK,,V
21956,Text,2007-06-28,Report of the Knaresbrough Rail-way Committee,en,"Knaresbrough Rail-Way Committee (Knaresborough, England)",Railroads -- England -- Knaresborough,HE,,H
21957,Text,2007-06-28,"The Psychology of Singing
A Rational Method of Voice Culture Based on a Scientific Analysis of All Systems, Ancient and Modern",en,"Taylor, David C. (David Clark), 1871-1918",Singing; Voice culture,MT,Music,M
22084,Text,2007-07-16,Oration on the Life and Character of Henry Winter Davis,en,"Creswell, John A. J. (John Angel James), 1828-1891","Legislators -- United States -- Biography; Abolitionists -- United States -- Biography; Davis, Henry Winter, 1817-1865",E300,,E
22090,Text,2007-07-17,The Task of Social Hygiene,en,"Ellis, Havelock, 1859-1939",Women -- Social and moral questions; Eugenics; Sexual ethics,HQ,,H
22129,Text,2007-07-24,"""Wee Tim'rous Beasties"": Studies of Animal life and Character",en,"English, Douglas, 1870-1939",Animals,QL,Biology,Q
22147,Text,2007-07-25,Peter the Hermit: A Tale of Enthusiasm,en,"Goodsell, Daniel A. (Daniel Ayres), 1840-1909","Peter, the Hermit, -1115",D,,D
22155,Text,2007-07-26,The Expressman and the Detective,en,"Pinkerton, Allan, 1819-1884","Pinkerton, Allan, 1819-1884; Detectives -- United States -- Biography; Robbery -- United States -- Case studies",HV,,H
22264,Text,2007-08-08,Irish Books and Irish People,en,"Gwynn, Stephen Lucius, 1864-1950","Ireland -- Social life and customs; Civilization, Celtic, in literature; Language and culture -- Ireland; Irish literature -- History and criticism; National characteristics, Irish; Irish wit and humor",DA,,D
22305,Text,2007-08-13,The Naval History of the United States. Volume 1,en,"Abbot, Willis J. (Willis John), 1863-1934","United States -- History, Naval",V,United States,V
22379,Text,2007-08-23,Masters of Water-Colour Painting,en,"Cundall, H. M. (Herbert Minton), 1848-1940 [Author of introduction, etc.]; Holme, C. Geoffrey (Charles Geoffrey), 1887-1954 [Editor]","Watercolor painting, British",ND,Art,N
22425,Text,2007-08-29,"Stanford Achievement Test, Ed. 1922
Advanced Examination, Form A, for Grades 4-8",en,"Kelley, Truman Lee, 1884-1961; Ruch, G. M. (Giles Murrel), 1892-1943; Terman, Lewis M. (Lewis Madison), 1877-1956",Psychological tests,LB,Children's Instructional Books,L
22520,Text,2007-09-05,Cattle and Cattle-breeders,en,"McCombie, William, 1805-1880",Cattle -- Breeding; Cattle breeders,SF,,S
22574,Text,2007-09-11,The Best Portraits in Engraving,en,"Sumner, Charles, 1811-1874",Portraits; Engraving,NE,Art,N
22606,Text,2007-09-15,The Booklover and His Books,en,"Koopman, Harry Lyman, 1860-1937",Books,Z,Bibliomania,Z
22677,Text,2007-09-19,"Greece and the Allies, 1914-1922",en,"Abbott, G. F. (George Frederick), 1874-1947","World War, 1914-1918 -- Greece; Greece -- Foreign relations; Greece -- Politics and government -- 1913-1917",DF,Greece; World War I,D
23135,Text,2007-10-21,"History of Circumcision from the Earliest Times to the Present
Moral and Physical Reasons for its Performance",en,"Remondino, P. C. (Peter Charles), 1846-1926",Circumcision,GN,,G
23257,Text,2007-10-30,"Clair de Lune
A Play in Two Acts and Six Scenes",en,"Strange, Michael",American drama,PS,,P
23270,Text,2007-10-31,"On the Indian Trail
Stories of Missionary Work among Cree and Salteaux Indians",en,"Young, Egerton Ryerson, 1840-1909",Ojibwa Indians -- Missions; Cree Indians -- Missions,E011,Native America,E
23273,Text,2007-10-31,John Deane of Nottingham: Historic Adventures by Land and Sea,en,"Kingston, William Henry Giles, 1814-1880","Dean, John, 1679-1761",CT,,C
23428,Text,2007-11-09,The Conquest of Bread,en,"Kropotkin, Petr Alekseevich, kniaz, 1842-1921",Communism; Anarchism,HX,Anarchism,H
23488,Text,2007-11-15,"The Jacobite Rebellions (1689-1746)
(Bell's Scottish History Source Books.)",en,"Thomson, J. Pringle (James Pringle), 1889-1916",Jacobites; Scotland -- History -- Sources,DA,United Kingdom,D
23581,Text,2007-11-21,Opportunities in Aviation,en,"Lamont, Gordon; Sweetser, Arthur, 1888-1968",Aeronautics,TL,,T
23597,Text,2007-11-23,Beauties of Tennyson,en,"Tennyson, Alfred Tennyson, Baron, 1809-1892; Schell, Frederic B. [Illustrator]",English poetry -- 19th century,PR,,P
23729,Text,2007-12-04,An Essay on the Application of the Lunar Caustic in the Cure of Certain Wounds and Ulcers,en,"Higginbottom, John, 1788-1876",Silver nitrate; Wound healing; Antiseptics,RM,,R
23733,Text,2007-12-04,"Incidents of the War: Humorous, Pathetic, and Descriptive",en,"Burnett, Alfred, 1824-1884","United States -- History -- Civil War, 1861-1865 -- Anecdotes",E456,US Civil War,E
23777,Text,2007-12-09,An Essay on the Shaking Palsy,en,"Parkinson, James, 1755-1824",Parkinson's disease,RC,Medicine,R
23826,Text,2007-12-11,"A Sketch of the Life of the late Henry Cooper
Barrister-at-Law, of the Norfolk Circuit; as also, of his Father",en,"Cooper, William","Cooper, Henry, barrister-at-law; Carlile, Mary Anne -- Trials, litigation, etc.; Lawyers -- England -- Biography; Trials (Libel) -- England",KD,,K
24125,Text,2008-01-02,A Little Book for A Little Cook,en,"Hubbard, L. P.",Pillsbury Company; Bread -- Poetry; Flour -- Poetry; Wheat -- Poetry; Baking -- Juvenile literature; Cooking -- Juvenile literature,TX,Children's Instructional Books,T
24322,Text,2008-01-15,"Scientific American Supplement, No. 664, September 22,1888",en,Various,Science -- Periodicals,T,Scientific American,T
24354,Text,2008-01-18,Historic Boyhoods,en,"Holland, Rupert Sargent, 1878-1952",Boys; Biography -- Juvenile literature,CT,,C
24391,Text,2008-01-21,Short Sketches from Oldest America,en,"Driggs, John B. (John Beach), 1854-",Eskimos -- Alaska,E011,,E
24398,Text,2008-01-22,"Punch, or the London Charivari, Vol. 104, April 22, 1893",en,Various,English wit and humor -- Periodicals,AP,Punch,A
24407,Text,2008-01-24,"The Italian Cook Book
The Art of Eating Well; Practical Recipes of the Italian Cuisine, Pastries, Sweets, Frozen Delicacies, and Syrups",en,"Gentile, Maria","Cooking, Italian",TX,Cookbooks and Cooking,T
24442,Text,2008-01-27,Report on the Department of Ports and Harbours for the Year 1890-91,en,Australia. Queensland. Department of Ports and Harbours,Harbors -- Australia -- Queensland,TC,Australia,T
24552,Text,2008-02-08,"Northern Nut Growers Association, Report of the Proceedings at the Fourth Annual Meeting
Washington D.C.  November 18 and 19, 1913",en,Northern Nut Growers Association [Editor],Northern Nut Growers Association -- Periodicals; Nut trees -- Periodicals; Nuts -- Periodicals,SB,Northern Nut Growers Association,S
24553,Text,2008-02-08,"Critical Miscellanies (Vol. 2 of 3), Essay 4: Joseph de Maistre",en,"Morley, John, 1838-1923","Maistre, Joseph Marie, comte de, 1753-1821; Authors, French -- 19th century -- Biography; Philosophers -- France -- Biography; Theologians -- France -- Biography; Diplomats -- France -- Biography",CT,,C
24563,Text,2008-02-09,"The Best of the World's Classics, Restricted to Prose, Vol. VII (of X)—Continental Europe I",en,"Halsey, Francis W. (Francis Whiting), 1851-1919 [Editor]; Lodge, Henry Cabot, 1850-1924 [Editor]",Authors -- Biography; Literature -- Collections,CT; PN; PQ,,C
24598,Text,2008-02-13,"A Modern History, From the Time of Luther to the Fall of Napoleon
For the Use of Schools and Colleges",en,"Lord, John, 1810-1894","Europe -- History; History, Modern",D,Children's History; Children's Instructional Books,D
24627,Text,2008-02-16,"Booker T. Washington, Builder of a Civilization",en,"Scott, Emmett J. (Emmett Jay), 1873-1957; Stowe, Lyman Beecher, 1880-1963; Roosevelt, Theodore, 1858-1919 [Author of introduction, etc.]","Washington, Booker T., 1856-1915; African Americans -- Biography; Educators -- United States -- Biography",CT; E151; LA,,C
24634,Text,2008-02-18,"Reminiscences of the Military Life and Sufferings of Col. Timothy Bigelow, Commander of the Fifteenth Regiment of the Massachusetts Line in the Continental Army, during the War of the Revolution",en,"Hersey, Charles","United States -- History -- Revolution, 1775-1783; Bigelow, Timothy, 1739-1790; United States. Continental Army -- Military life",CT; E201,,C
24647,Text,2009-01-14,"The Standard Operaglass
Detailed Plots of One Hundred and Fifty-one Celebrated Operas",en,"Annesley, Charles, pseud.","Operas -- Stories, plots, etc.",MT,Opera,M
24656,Text,2008-02-20,Ontario Teachers' Manuals: Household Management,en,Ontario. Department of Education,Cooking; Home economics,LT; TX,Technology; Children's Instructional Books,L
24659,Text,2008-02-20,"Hortense
Makers of History Series",en,"Abbott, John S. C. (John Stevens Cabot), 1805-1877","Biography; France -- History -- Revolution, 1789-1799; France -- History -- Consulate and First Empire, 1799-1815; Hortense, Queen, consort of Louis Bonaparte, King of Holland, 1783-1837; France -- History -- Restoration, 1814-1830; France -- History -- Louis Philippe, 1830-1848",CT; DC,,C
24685,Text,2008-02-25,Heroes of the Goodwin Sands,en,"Treanor, Thomas Stanley",Lifesaving -- Great Britain; Shipwrecks; Goodwin Sands (England),VK,,V
24699,Text,2008-02-26,Some Personal Recollections of Dr. Janeway,en,"Clark, James Bayard, 1869-","Physicians -- United States -- Biography; Janeway, Edward Gamaliel, 1841-1911",CT; R,,C
24719,Text,2008-02-29,Amateur Fish Culture,en,"Walker, Charles Edward, -1953",Aquaculture; Fish culture,SH,,S
24732,Text,2008-03-02,Myths & Legends of our New Possessions & Protectorate,en,"Skinner, Charles M. (Charles Montgomery), 1852-1907",Tales -- West Indies; Tales -- Oceania,GR,Folklore,G
24745,Text,2008-03-03,"The Loss of the Kent, East Indiaman, in the Bay of Biscay
Narrated in a Letter to a Friend",en,"McGregor, Duncan, 1787-1881",Shipwrecks,VK,,V
24808,Text,2008-03-11,All Afloat: A Chronicle of Craft and Waterways,en,"Wood, William, 1864-1947",Canada -- History; Navigation -- History; Inland navigation -- Canada; Fisheries -- Canada,VK; F1001,,V
24829,Text,2008-03-14,"The Uses of Italic
A Primer of Information Regarding the Origin and Uses of Italic Letters",en,"Hamilton, Frederick W. (Frederick William), 1860-1940",Printing -- Style manuals; Italic type,Z,,Z
24868,Text,2008-03-18,"The Cost of Living Among Wage-Earners
Fall River, Massachusetts, October, 1919, Research Report Number 22, November, 1919",en,National Industrial Conference Board,Cost and standard of living -- Massachusetts -- Fall River,HD,United States,H
24923,Text,2008-03-27,"The Variation of Animals and Plants Under Domestication, Vol. I.",en,"Darwin, Charles, 1809-1882","Variation (Biology); Domestic animals; Plants, Cultivated",QH,Animals-Domestic,Q
25004,Text,2008-04-05,A Confederate Girl's Diary,en,"Dawson, Sarah Morgan, 1842-1909","Louisiana -- History -- Civil War, 1861-1865; United States -- History -- Civil War, 1861-1865 -- Personal narratives, Confederate; Dawson, Sarah Morgan, 1842-1909 -- Diaries; Women -- Louisiana -- Diaries",E456,US Civil War,E
25034,Text,2008-04-10,Report of the Chief Librarian for the Year Ended 31 March 1958: Special Centennial Issue,en,"New Zealand. General Assembly Library; Wilson, J. O.; Burns, A. D. [Editor]",General Assembly Library -- Periodicals; Libraries -- New Zealand -- Periodicals,Z,New Zealand,Z
25067,Text,2008-04-13,The Planet Strappers,en,"Gallun, Raymond Z., 1911-1994",Science fiction; Astronauts -- Fiction; Outer space -- Exploration -- Fiction,PS,Science Fiction,P
25105,Text,2008-04-19,"Pâkia
1901",en,"Becke, Louis, 1855-1913",Short stories; Oceania -- Fiction,PR,,P
25122,Text,2008-04-22,"From Sail to Steam, Recollections of Naval Life",en,"Mahan, A. T. (Alfred Thayer), 1840-1914",United States. Navy -- History,VA,,V
25213,Text,2008-11-17,"The Masters and Their Music
A series of illustrative programs with biographical,
esthetical, and critical annotations",en,"Mathews, W. S. B. (William Smythe Babcock), 1837-1912",Composers -- Biography; Music appreciation,ML,,M
25268,Text,2008-04-30,Child-life in Art,en,"Hurll, Estelle M. (Estelle May), 1863-1924",Children in art,N,,N
25304,Text,2008-05-02,"The Shadow On The Dial, and Other Essays
1909",en,"Bierce, Ambrose, 1842-1914?; Howes, S. O. (Silas Orrin), 1867-1918 [Editor]",Essays,PS,,P
25389,Text,2008-05-08,Right Use of Lime in Soil Improvement,en,"Agee, Alva, 1858-1943",Lime; Liming of soils,S,,S
25400,Text,2008-05-09,Colleges in America,en,"Barker, John Marshall, 1849-1928",Universities and colleges -- United States,LA,,L
25432,Text,2008-05-11,The Baby's Bouquet: A Fresh Bunch of Rhymes and Tunes,en,"Crane, Walter, 1845-1915; Crane, Lucy, 1842-1882 [Contributor]; Evans, Edmund, 1826-1905 [Engraver]",Nursery rhymes; Children's songs,M; PZ,Children's Picture Books,M
25462,Text,2008-05-13,Little Folks' Handy Book,en,"Beard, Adelia B. (Adelia Belle), 1857-1920; Beard, Lina, -1933",Games; Amusements,GV,,G
25482,Text,2008-05-15,"The Armed Forces Officer
Department of the Army Pamphlet 600-2",en,United States. Department of Defense,United States -- Armed Forces -- Officers' handbooks,U,,U
25544,Text,2008-05-20,"The Pioneer Steamship Savannah: A Study for a Scale Model
United States National Museum Bulletin 228, 1961, pages 61-80",en,"Chapelle, Howard Irving, 1901-1975",Savannah (Steamship); Ship models,VM,Technology,V
25598,Text,2008-05-25,Citizenship: A Manual for Voters,en,"Cromwell, Emma Guy, 1865-1952","Women -- Suffrage -- United States; United States -- Politics and government -- Handbooks, manuals, etc.; Kentucky -- Politics and government",JK,,J
25632,Text,2008-05-29,"A History of Art for Beginners and Students: Painting, Sculpture, Architecture",en,"Waters, Clara Erskine Clement, 1834-1916",Art -- History,N,,N
25652,Text,2008-05-30,"A Treasury of Heroes and Heroines
A Record of High Endeavour and Strange Adventure from 500 B.C. to 1920 A.D.",en,"Edwards, Clayton",Heroes,CT,,C
25699,Text,2008-06-05,"The Battle of New Orleans
including the Previous Engagements between the Americans
and the British, the Indians and the Spanish which led to
the Final Conflict on the 8th of January, 1815",en,"Smith, Z. F. (Zachariah Frederick), 1827-1911","New Orleans, Battle of, New Orleans, La., 1815",E300,,E
25711,Text,2008-06-06,"Freedom in Science and Teaching.
from the German of Ernst Haeckel",en,"Haeckel, Ernst, 1834-1919; Huxley, Thomas Henry, 1825-1895 [Commentator]","Evolution (Biology); Teaching, Freedom of; Science -- Study and teaching; Virchow, Rudolf Ludwig Karl, 1821-1902. Freiheit der Wissenschaft im modernen Staat",LA; QH,,L
25719,Text,2008-06-07,"The Privateer's-Man, One hundred Years Ago",en,"Marryat, Frederick, 1792-1848",Historical fiction; Sea stories; Privateering -- Fiction,PR,,P
25759,Text,2008-06-11,"Lives of the Most Eminent Painters Sculptors and Architects, Vol. 02 (of 10)
Berna to Michelozzo Michelozzi",en,"Vasari, Giorgio, 1511-1574; De Vere, Gaston du C. [Translator]","Artists -- Italy -- Biography; Art, Italian",N,,N
25793,Text,2008-06-14,"Critical Miscellanies (Vol. 3 of 3), Essay 6: Harriet Martineau",en,"Morley, John, 1838-1923","Essays; Martineau, Harriet, 1802-1876",CT; PR,,C
25856,Text,2008-06-20,The Form of Perfect Living and Other Prose Treatises,en,"Rolle, Richard, of Hampole, 1290?-1349; Hodgson, Geraldine Emma, 1865-1937 [Translator]","Christian life; Rolle, Richard, of Hampole, 1290?-1349",BX,,B
25880,Text,2008-06-23,"American Poetry, 1922: A Miscellany",en,"Aiken, Conrad, 1889-1973 [Contributor]; Fletcher, John Gould, 1886-1950 [Contributor]; Frost, Robert, 1874-1963 [Contributor]; H. D. (Hilda Doolittle), 1886-1961 [Contributor]; Kreymborg, Alfred, 1883-1966 [Contributor]; Lindsay, Vachel, 1879-1931 [Contributor]; Lowell, Amy, 1874-1925 [Contributor]; Millay, Edna St. Vincent, 1892-1950 [Contributor]; Oppenheim, James, 1882-1932 [Contributor]; Sandburg, Carl, 1878-1967 [Contributor]; Teasdale, Sara, 1884-1933 [Contributor]; Untermeyer, Jean Starr, 1886-1970 [Contributor]; Untermeyer, Louis, 1885-1977 [Contributor]",American poetry -- 20th century,PS,,P
25907,Text,2008-06-27,Indian Child Life,en,"Eastman, Charles A., 1858-1939; Varian, George, 1865-1923 [Illustrator]",Dakota Indians; Indian children -- North America,E011; GN,Native America,E
25913,Text,2008-06-27,Tales of Folk and Fairies,en,"Pyle, Katharine, 1863-1938",Fairy tales; Folklore,GR; PZ,,G
25926,Text,2008-06-28,The 1926 Tatler,en,"Newhall, Margaret Louise [Editor]","Northrop Collegiate School (Minneapolis, Minn.) -- Students -- Yearbooks; Schools -- Minnesota -- Minneapolis -- Students -- Yearbooks",LD,,L
25941,Text,2008-06-30,"Autobiography of Frank G. Allen, Minister of the Gospel
and Selections from his Writings",en,"Allen, F. G. (Frank Gibbs), 1836-1887; Graham, Robert, 1822-1901 [Editor]",Autobiographies; Clergy -- Kentucky -- Biography,BX; CT,,B
25977,Text,2008-07-06,My Recollections of Lord Byron,en,"Guiccioli, Teresa, contessa di, 1800-1873; Jerningham, Hubert E. H. (Hubert Edward Henry), Sir, 1842-1914 [Translator]","Poets, English -- 19th century -- Biography; Byron, George Gordon Byron, Baron, 1788-1824",CT; PR,,C
26000,Text,2008-07-07,"The Sailor's Word-Book
An Alphabetical Digest of Nautical Terms, including Some More Especially Military and Scientific, but Useful to Seamen; as well as Archaisms of Early Voyagers, etc.",en,"Smyth, W. H. (William Henry), 1788-1865; Belcher, Edward, Sir, 1799-1877 [Editor]",Naval art and science -- Dictionaries; Military art and science -- Dictionaries,V,,V
26020,Text,2008-07-10,"Apis Mellifica; or, The Poison of the Honey-Bee, Considered as a Therapeutic Agent",en,"Wolf, C. W., -1866",Homeopathy; Bees -- Venom -- Therapeutic use,RM,,R
26058,Text,2008-07-14,The Starvation Treatment of Diabetes,en,"Eckman, Rena Sarah, 1868-; Hill, Lewis Webb, 1889-1968",Diabetes; Diet in disease,RC,,R
26121,Text,2008-07-24,"Notes and Queries, Number 33,  June 15, 1850",en,Various,Questions and answers -- Periodicals,AG,Notes and Queries,A
26133,Text,2008-07-26,"Trial of Duncan Terig, alias Clerk, and Alexander Bane Macdonald
for the Murder of Arthur Davis, Sergeant in General Guise's
Regiment of Foot",en,"Scott, Walter, 1771-1832","Trials (Murder) -- Scotland; Terig, Duncan -- Trials, litigation, etc.; Macdonald, Alexander Bane -- Trials, litigation, etc.",KD,,K
26173,Text,2008-08-02,The Stephens Family: A Genealogy of the Descendants of Joshua Stevens,en,"Stephens, Bascom Asbury Cecil; Bower, Alonzo Smith [Commentator]",Stevens family,CS,,C
26184,Text,2008-08-04,Simple Sabotage Field Manual,en,United States. Office of Strategic Services,Sabotage,UH,,U
26280,Text,2008-08-12,The Renewal of Life; How and When to Tell the Story to the Young,en,"Morley, Margaret Warner, 1858-1923",Reproduction; Physiology -- Study and teaching,HQ,,H
26378,Text,2008-08-20,The Care of Books,en,"Clark, John Willis, 1833-1910",Libraries -- History; Library architecture -- History; Library fittings and supplies -- History,Z,Bibliomania,Z
